iter	RMSE
0	23.47661227
1	23.36597638
2	23.27794607
3	23.17663733
4	23.08734255
5	23.03483219
6	22.98760778
7	22.91024085
8	22.83916268
9	22.77272072
10	22.68578187
11	22.6121876
12	22.5303868
13	22.45512819
14	22.40409244
15	22.34715389
16	22.28445177
17	22.24175436
18	22.16748355
19	22.13355191
20	22.09722047
21	22.04351011
22	22.01975235
23	21.9775901
24	21.92195078
25	21.85455233
26	21.80583124
27	21.76685318
28	21.71577241
29	21.68422341
30	21.62510993
31	21.57615867
32	21.53533454
33	21.49297137
34	21.45978489
35	21.42955962
36	21.39693457
37	21.36293113
38	21.32240168
39	21.27895743
40	21.24801482
41	21.21809943
42	21.19262625
43	21.16667896
44	21.13395324
45	21.0963216
46	21.07218534
47	21.03588393
48	21.02444596
49	20.99687042
50	20.96835179
51	20.94119909
52	20.90957776
53	20.87645675
54	20.85217413
55	20.81613401
56	20.78110552
57	20.75877721
58	20.73569145
59	20.70085054
60	20.68001469
61	20.64896823
62	20.62866394
63	20.60742284
64	20.58729964
65	20.56673999
66	20.55185827
67	20.53061652
68	20.50535999
69	20.48246604
70	20.46009635
71	20.43668851
72	20.39225033
73	20.35776602
74	20.34657955
75	20.32177183
76	20.2961508
77	20.27873788
78	20.24476629
79	20.22383461
80	20.20756648
81	20.19137564
82	20.16869121
83	20.14723082
84	20.12883206
85	20.10492012
86	20.08458301
87	20.0627146
88	20.0356695
89	20.01947351
90	19.9879749
91	19.9591292
92	19.94092121
93	19.92791083
94	19.89536115
95	19.87463704
96	19.8532398
97	19.8364606
98	19.81864297
99	19.79739219
100	19.77553949
101	19.75276799
102	19.73804202
103	19.72626882
104	19.70381035
105	19.69188905
106	19.67526846
107	19.65955097
108	19.63905419
109	19.62590088
110	19.61198313
111	19.58490807
112	19.57417324
113	19.56335709
114	19.5331566
115	19.51200028
116	19.49629838
117	19.48202558
118	19.45971586
119	19.43314341
120	19.41741307
121	19.39379477
122	19.37908104
123	19.35988707
124	19.34843585
125	19.33506198
126	19.30736692
127	19.29199923
128	19.27789615
129	19.26293965
130	19.24705683
131	19.23238211
132	19.21660591
133	19.20937638
134	19.19740132
135	19.18032351
136	19.16946784
137	19.14212752
138	19.12778811
139	19.11607115
140	19.0877107
141	19.07218999
142	19.06159358
143	19.04860186
144	19.03439823
145	19.01221825
146	18.99806701
147	18.97190516
148	18.96485505
149	18.94489047
150	18.93246447
151	18.91767332
152	18.90602548
153	18.8934172
154	18.87135283
155	18.85466804
156	18.84276551
157	18.82526738
158	18.81316665
159	18.79773484
160	18.78109322
161	18.77002676
162	18.75796141
163	18.74315327
164	18.73173837
165	18.71158081
166	18.68076886
167	18.66710829
