iter	Passed	Remaining
0	14	14610
1	37	18895
2	51	17206
3	65	16387
4	80	16037
5	93	15433
6	104	14768
7	114	14244
8	124	13669
9	134	13359
10	148	13350
11	157	12957
12	167	12690
13	174	12307
14	183	12038
15	190	11722
16	201	11672
17	210	11476
18	219	11335
19	228	11182
20	236	11007
21	244	10860
22	252	10713
23	263	10700
24	273	10651
25	283	10615
26	291	10518
27	300	10423
28	307	10302
29	315	10193
30	322	10088
31	330	9993
32	337	9883
33	345	9823
34	353	9750
35	361	9676
36	368	9603
37	377	9546
38	384	9463
39	392	9420
40	400	9367
41	408	9310
42	417	9287
43	427	9284
44	434	9230
45	443	9198
46	451	9162
47	459	9121
48	466	9060
49	476	9045
50	483	9000
51	491	8968
52	500	8951
53	509	8921
54	516	8869
55	523	8826
56	530	8782
57	539	8757
58	546	8713
59	553	8673
60	560	8634
61	568	8606
62	577	8583
63	585	8566
64	593	8538
65	601	8509
66	608	8475
67	615	8434
68	623	8414
69	632	8399
70	642	8404
71	652	8409
72	661	8395
73	671	8401
74	681	8408
75	690	8396
76	701	8409
77	710	8396
78	720	8394
79	727	8361
80	736	8350
81	743	8319
82	751	8299
83	759	8280
84	768	8267
85	775	8246
86	785	8239
87	792	8208
88	799	8181
89	806	8152
90	813	8125
91	820	8098
92	828	8076
93	835	8049
94	843	8033
95	850	8013
96	859	7999
97	867	7987
98	877	7990
99	886	7978
100	895	7973
101	905	7970
102	916	7982
103	925	7977
104	933	7955
105	941	7942
106	951	7937
107	961	7937
108	970	7936
109	980	7933
110	988	7913
111	997	7909
112	1005	7894
113	1014	7886
114	1023	7879
115	1032	7865
116	1041	7860
117	1049	7842
118	1059	7841
119	1066	7821
120	1075	7810
121	1082	7793
122	1091	7779
123	1100	7772
124	1112	7787
125	1121	7780
126	1129	7764
127	1138	7755
128	1147	7747
129	1158	7753
130	1168	7748
131	1176	7736
132	1185	7729
133	1194	7722
134	1203	7710
135	1212	7705
136	1222	7701
137	1231	7692
138	1241	7688
139	1249	7677
140	1260	7676
141	1270	7675
142	1278	7661
143	1287	7654
144	1295	7640
145	1305	7633
146	1312	7617
147	1322	7611
148	1330	7601
149	1339	7590
150	1347	7576
151	1355	7559
152	1363	7546
153	1371	7532
154	1379	7518
155	1386	7501
156	1393	7484
157	1400	7464
158	1407	7446
159	1415	7432
160	1422	7414
161	1429	7396
162	1437	7379
163	1444	7364
164	1451	7347
165	1459	7334
166	1470	7335
167	1477	7319
168	1484	7301
169	1491	7284
170	1500	7275
171	1507	7259
172	1516	7247
173	1523	7233
174	1531	7220
175	1539	7207
176	1548	7197
177	1555	7181
178	1563	7170
179	1570	7156
180	1578	7141
181	1585	7124
182	1592	7111
183	1599	7094
184	1607	7081
185	1614	7066
186	1621	7050
187	1629	7038
188	1637	7025
189	1645	7013
190	1651	6996
191	1660	6988
192	1668	6977
193	1677	6970
194	1685	6958
195	1694	6949
196	1701	6935
197	1710	6929
198	1718	6918
199	1727	6909
200	1734	6895
201	1742	6884
202	1750	6874
203	1759	6867
204	1767	6853
205	1774	6838
206	1781	6824
207	1789	6813
208	1796	6799
209	1804	6788
210	1812	6776
211	1820	6767
212	1828	6754
213	1836	6744
214	1845	6738
215	1854	6732
216	1862	6722
217	1873	6721
218	1883	6717
219	1893	6711
220	1904	6711
221	1911	6700
222	1923	6703
223	1932	6693
224	1939	6681
225	1948	6671
226	1956	6661
227	1963	6649
228	1971	6637
229	1978	6624
230	1986	6611
231	1992	6597
232	2000	6586
233	2007	6572
234	2015	6561
235	2022	6547
236	2030	6537
237	2037	6523
238	2044	6511
239	2051	6497
240	2059	6485
241	2067	6475
242	2074	6462
243	2082	6452
244	2090	6441
245	2098	6432
246	2108	6429
247	2116	6418
248	2123	6405
249	2130	6392
250	2138	6379
251	2146	6372
252	2154	6360
253	2162	6351
254	2169	6338
255	2177	6328
256	2184	6316
257	2192	6306
258	2199	6293
259	2207	6283
260	2214	6270
261	2222	6259
262	2229	6247
263	2236	6235
264	2243	6223
265	2251	6211
266	2259	6202
267	2266	6190
268	2273	6178
269	2282	6170
270	2291	6164
271	2302	6163
272	2312	6157
273	2320	6148
274	2330	6144
275	2339	6136
276	2350	6134
277	2360	6131
278	2372	6131
279	2381	6125
280	2391	6120
